tiger,tiger,1
fuck,sex,0.944
journey,voyage,0.929
midday,noon,0.929
dollar,buck,0.922
money,cash,0.915
coast,shore,0.91
money,cash,0.908
money,currency,0.904
football,soccer,0.903
magician,wizard,0.902
type,kind,0.897
gem,jewel,0.896
car,automobile,0.894
street,avenue,0.888
asylum,madhouse,0.887
boy,lad,0.883
environment,ecology,0.881
furnace,stove,0.879
seafood,lobster,0.87
mile,kilometer,0.866
Maradona,football,0.862
OPEC,oil,0.859
king,queen,0.858
murder,manslaughter,0.853
money,bank,0.85
computer,software,0.85
Jerusalem,Israel,0.846
vodka,gin,0.846
planet,star,0.845
calculation,computation,0.844
money,dollar,0.842
law,lawyer,0.838
championship,tournament,0.836
seafood,food,0.834
weather,forecast,0.834
FBI,investigation,0.831
network,hardware,0.831
nature,environment,0.831
man,woman,0.83
money,wealth,0.827
psychology,Freud,0.821
news,report,0.816
vodka,brandy,0.813
war,troops,0.813
Harvard,Yale,0.813
bank,money,0.812
physics,proton,0.812
planet,galaxy,0.811
stock,market,0.808
psychology,psychiatry,0.808
planet,moon,0.808
planet,constellation,0.806
credit,card,0.806
hotel,reservation,0.803
planet,sun,0.802
tiger,jaguar,0.8
tiger,feline,0.8
closet,clothes,0.8
planet,astronomer,0.794
soap,opera,0.794
movie,theater,0.792
planet,space,0.792
treatment,recovery,0.791
liquid,water,0.789
life,death,0.788
baby,mother,0.785
aluminum,metal,0.783
cell,phone,0.781
lobster,food,0.781
dollar,yen,0.778
wood,forest,0.773
money,deposit,0.773
television,film,0.772
psychology,mind,0.769
game,team,0.769
admission,ticket,0.769
Jerusalem,Palestinian,0.765
Arafat,terror,0.765
dividend,payment,0.763
profit,loss,0.763
computer,keyboard,0.762
boxing,round,0.761
century,year,0.759
rock,jazz,0.759
computer,internet,0.758
money,property,0.757
tennis,racket,0.756
announcement,news,0.756
canyon,landscape,0.753
day,dawn,0.753
food,fruit,0.752
telephone,communication,0.75
currency,market,0.75
psychology,cognition,0.748
marathon,sprint,0.747
seafood,sea,0.747
book,paper,0.746
book,library,0.746
Mexico,Brazil,0.744
media,radio,0.742
psychology,depression,0.742
jaguar,cat,0.742
fighting,defeating,0.741
movie,star,0.738
bird,crane,0.738
hundred,percent,0.738
dollar,profit,0.738
tiger,cat,0.735
physics,chemistry,0.735
country,citizen,0.731
money,possession,0.729
jaguar,car,0.727
cup,drink,0.725
psychology,health,0.723
museum,theater,0.719
summer,drought,0.716
phone,equipment,0.713
investor,earning,0.713
bird,cock,0.71
company,stock,0.708
tiger,carnivore,0.708
stroke,hospital,0.703
liability,insurance,0.703
game,victory,0.703
doctor,nurse,0.7
tiger,animal,0.7
psychology,anxiety,0.7
game,defeat,0.697
FBI,fingerprint,0.694
money,withdrawal,0.688
street,block,0.688
opera,performance,0.688
drink,eat,0.687
drug,abuse,0.685
tiger,mammal,0.685
psychology,fear,0.685
cup,tableware,0.685
student,professor,0.681
football,basketball,0.681
concert,virtuoso,0.681
computer,laboratory,0.678
love,sex,0.677
television,radio,0.677
problem,challenge,0.675
Arafat,peace,0.673
movie,critic,0.673
bed,closet,0.672
psychology,science,0.671
fertility,egg,0.669
bishop,rabbi,0.669
lawyer,evidence,0.669
precedent,law,0.665
football,tennis,0.663
minister,party,0.663
professor,doctor,0.662
psychology,clinic,0.658
cup,coffee,0.658
water,seepage,0.656
government,crisis,0.656
space,world,0.653
Japanese,American,0.65
dividend,calculation,0.648
victim,emergency,0.647
luxury,car,0.647
tool,implement,0.646
competition,price,0.644
street,place,0.644
psychology,doctor,0.642
gender,equality,0.641
listing,category,0.638
discovery,space,0.634
oil,stock,0.634
video,archive,0.634
governor,office,0.634
train,car,0.631
record,number,0.631
shower,thunderstorm,0.631
brother,monk,0.627
nature,man,0.625
production,crew,0.625
family,planning,0.625
disaster,area,0.625
skin,eye,0.622
food,preparation,0.622
bread,butter,0.619
movie,popcorn,0.619
game,series,0.619
lover,quarrel,0.619
preservation,world,0.619
dollar,loss,0.609
weapon,secret,0.606
precedent,antecedent,0.604
shower,flood,0.603
registration,arrangement,0.6
arrival,hotel,0.6
announcement,warning,0.6
baseball,season,0.597
game,round,0.597
drink,mouth,0.596
energy,crisis,0.594
grocery,money,0.594
life,lesson,0.594
cucumber,potato,0.592
king,rook,0.592
reason,criterion,0.591
equipment,maker,0.591
